,tag,title,comment,src
0,태그없음,오프터때 고백 안하는 이유는 내가 별로여서야?,누가 내 얘기 적어놨냐 내 상황이랑 나이 너무 똑같음,인티
1,이별,헤어지고 마음이 너무 힘든데 혼자 해외여행가는거 어때,어 나도 그럴 생각이었는데 좋은 생각인 거 같아!,인티
2,질문,전여친 돈 빌려간거 반년동안 기달려주는데 안갚네요,법의 무서움을 보여줘라,펨코
3,질문,연애할때 경제상황 어느정도 고려하심?,저축은 못해도 남한테 손 벌리지 않을 정도로 썼음다,펨코
4,짝,짝남왈 나긋나긋한 목소리 이상형 이래 헬프!!,배우들 생각해보면 금방 나올 듯 아니면 누구 좋아하냐고 물어봐,인티
5,잡담,진짜 수능 응원 받고 싶은 애한테만 연락이 안 오네,내일 시험 끝나면 연락올거에요 잘보고 와요,펨코
6,태그없음,짝남이랑 대화할만한거 추천좀,너 나 사랑해? 너 나랑 결혼할래?,인티
7,태그없음,힘들다 그냥,나도 사랑도 그렇고 모든 면에서,인티
8,결혼,결혼한 ₩청자₩들아 ㅠㅠ 총 얼마 들었어??,"난 내년 결혼예정이고 스드메 500 웨딩홀 200명 식대포함 1300 스냅디비디220 정도,,,",인티
9,잡담,여사친 보면 볼수록 귀엽네 ㅋㅋ,위험하다 위험해,펨코
10,이별,입맛이 없다는걸 첨 느껴봤다,나도 ㅋㅋ 입맛 떨어진 거 인생 처음임,인티
11,잡담,다들 연애 어디서해요,헌포 클럽 번따 지인소개 어플 과팅,펨코
12,잡담,다이어트하니까 정신나갈거같아요,마라탕 곱창 초밥,펨코
13,연애중,아까 영화관에서 냠친 옆모습 봤다가 깜짝놀랐러,그정도라고? 어디서만났어? 몇살이야?ㅜㅜ 얼마나사겼어?부럽다,인티
14,질문,여친 생일 선물 예산 고민,20대 초반에 20은 좀 과한듯? 선물식사 15만원 안 쪽에서 해결하면 좋을듯!,펨코
15,태그없음,상대방이 술 마시러 갈때 연락 안되는거 어느정도 까지 기다릴 수있어?,집도착해서 되면 갠찬,인티
16,잡담,인간이 배우자의 외모를 따지는 이유는 무엇일까?,더 나은 번식결과물을 위한 본능,펨코
17,잡담,여자 왼손 세번째 손가락 반지 무슨 의미임??,우정반지 아님? 아니면 그냥 끼거나,펨코
18,이별,전애인이랑 헤어질때 보낸 카톡보고 울었다,어떤 마음인지 알겠다 토닥토닥,인티
19,잡담,귀여운 여자친구,개귀엽네ㅋㅋ,펨코
20,이별,한달찬데 사진 겨우 지웠다,와 나를 보는줄 ㅠㅠ,인티
21,태그없음,너를 사랑하지 않는 사람때문에 마음 아파하지 말고 너란 존재를 알아주고 사랑해주고 아껴주고 소중하게 생각해주는 그런,₩화자₩한테 하는 말이야?,인티
22,잡담,중학교때 여사친이랑 오랜만에 연락 닿아서 만났는데,자기관리 ㄱㄱ,펨코
23,태그없음,짝남한테 고백했는데 반응이 없어,거절인듯,인티
24,질문,님들 주위에도 진짜 괜찮은 앤데 연애 안하는 사람 있나요?,인프피의 전형적인 모습,펨코
25,잡담,샤로롱바이인가 샤오롱파이인가,샤오롱바오,펨코
26,잡담,곧 메리구리스인데 또다시 솔로로 보내야하네,빛이 나는 솔로~,펨코
27,잡담,까였네요 ㅠㅋㅋ,난 이런것도 경험치 라고 생각함 안까여본 사람이 어디있겠음,펨코
28,이별,헤어지자고 할때 한번도 안붙잡은 사람이면 연락 안오겠지?,먼저 헤어지자 한거아냐? 책임지던지 아쉬우면 붙잡아야지 뭘 기대한거야?,인티
29,잡담,ㅋㅋ여친 브이로그하네,댓글도 달아줘,펨코
30,질문,다들 여친 생일선물 어떻게 줬음?,챙겨줘,펨코
31,이별,어떻게된게 하루도 빠짐없이 매일 꿈에 나오냐 ㅎ,나도그라,인티
32,잡담,오늘 상견례 했읍니다,멋있다,펨코
33,이별,한달 지나고 완전 괜찮아졌는데 슬슬 또 그리워진다,나도 막 엄청 힘들진 않지만 그래도 연락왔으면 좋겠어,인티
34,이별,헤어졌다,너 충분히 좋은 사람임,펨코
35,짝,짝녀 퇴사하는데 함 질러볼까,그래!! 쪽지라도 줘보자,인티
36,질문,스테이크를 한번도 안먹어봤는데 주문을 어케해야대나여,몇명이 가시나요 둘이서 밥은 많이 먹는편인가요,펨코
37,태그없음,INTJ는 관심 표현 어떻게 해?,걍 대놓고 질문,인티
38,잡담,전전여친이 나 멀프해놓고 멀프 프사 11개 쌓여있는거 이해 못했는데,그거 상대방 신경 쓰이게 하려고 그러는거잖아 ㅋㅋㅋ,펨코
39,태그없음,남자는 아무리 바빠도 좋아하면 귀찮게해?,귀찮게 한다기보단 최대한 시간내서 만나려고 하지,인티
40,이별,미련있고 생각나도 연락 안하는 남자 많겠지?,그러게ㅜㅜ헤붙하고 들어보니 미련이 생겨도 참았다고 하더라구 그러다 다시 이별엔딩ㅎㅎㅎ,인티
41,잡담,말을 잘하는 법에는 뭐가 있을까?,독서요,펨코
42,태그없음,21학번이 23학번 만나는 거,왜 힘들어? 나이로는 한살차이 아닌가,인티
